RepoName,RepoType,GitHubURL
DongjunLee/kino-bot,Applied,https://github.com/DongjunLee/kino-bot.git
MaxHalford/starboost,Applied,https://github.com/MaxHalford/starboost.git
howl-anderson/seq2annotation,Applied,https://github.com/howl-anderson/seq2annotation.git
databricks/spark-sklearn,Tool,https://github.com/databricks/spark-sklearn.git
beringresearch/ivis,Applied,https://github.com/beringresearch/ivis.git
koshort/pyeunjeon,Applied,https://github.com/koshort/pyeunjeon.git
ugnelis/tensorflow-rnn-ctc,Applied,https://github.com/ugnelis/tensorflow-rnn-ctc.git
platisd/bad-commit-message-blocker,Applied,https://github.com/platisd/bad-commit-message-blocker.git
PPPLDeepLearning/plasma-python,Applied,https://github.com/PPPLDeepLearning/plasma-python.git
MathBunny/strava-wind-analysis-ml,Applied,https://github.com/MathBunny/strava-wind-analysis-ml.git
chakki-works/chariot,Applied,https://github.com/chakki-works/chariot.git
scikit-learn-contrib/stability-selection,Tool,https://github.com/scikit-learn-contrib/stability-selection.git
HoloClean/holoclean,Applied,https://github.com/HoloClean/holoclean.git
cjekel/tindetheus,Applied,https://github.com/cjekel/tindetheus.git
mholtzscher/spacy_readability,Applied,https://github.com/mholtzscher/spacy_readability.git
domainadaptation/salad,Applied,https://github.com/domainadaptation/salad.git
ssydasheng/GPflow-Slim,Applied,https://github.com/ssydasheng/GPflow-Slim.git
IlyaGusev/rnnmorph,Applied,https://github.com/IlyaGusev/rnnmorph.git
cbg-ethz/pybda,Applied,https://github.com/cbg-ethz/pybda.git
fdtomasi/regain,Applied,https://github.com/fdtomasi/regain.git
NRCan/geo-deep-learning,Applied,https://github.com/NRCan/geo-deep-learning.git
RandolphVI/Next-Basket-Recommendation,Applied,https://github.com/RandolphVI/Next-Basket-Recommendation.git
akshaynagpal/w2n,Applied,https://github.com/akshaynagpal/w2n.git
aleju/imgaug,Applied,https://github.com/aleju/imgaug.git
ELS-RD/anonymisation,Applied,https://github.com/ELS-RD/anonymisation.git
textpipe/textpipe,Applied,https://github.com/textpipe/textpipe.git
parlance/ctcdecode,Tool,https://github.com/parlance/ctcdecode.git
jmschrei/apricot,Tool,https://github.com/jmschrei/apricot.git
raphaelvallat/entropy,Applied,https://github.com/raphaelvallat/entropy.git
vecto-ai/vecto,Applied,https://github.com/vecto-ai/vecto.git
koalanlp/python-support,Tool,https://github.com/koalanlp/python-support.git
bmcfee/pumpp,Applied,https://github.com/bmcfee/pumpp.git
namisan/mt-dnn,Applied,https://github.com/namisan/mt-dnn.git
adhaamehab/arabicnlp,Tool,https://github.com/adhaamehab/arabicnlp.git
datarobot/pic2vec,Applied,https://github.com/datarobot/pic2vec.git
Liebeck/spacy-sentiws,Applied,https://github.com/Liebeck/spacy-sentiws.git
i3thuan5/tai5-uan5_gian5-gi2_kang1-ku7,Tool,https://github.com/i3thuan5/tai5-uan5_gian5-gi2_kang1-ku7.git
pycroscopy/pycroscopy,Applied,https://github.com/pycroscopy/pycroscopy.git
